timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
1362,0.003906,0.041992,0.958008,-5.000000,1.954198,-0.709924,0.958936,5.415061,normal
1382,-0.010742,0.090088,1.020752,-5.061069,2.183206,-0.297710,1.024776,5.519912,normal
1402,-0.011963,0.078613,0.985596,-4.816794,2.167939,-0.671756,0.988798,5.324727,normal
1422,0.002441,0.062988,0.978027,-4.564886,2.488550,-1.061069,0.980057,5.306310,normal
1442,-0.004639,0.061768,0.980957,-4.992366,1.732824,-0.648855,0.982911,5.324229,normal
1462,-0.001221,0.067627,0.983154,-5.183206,1.961832,-0.282443,0.985478,5.549251,normal
1482,0.005859,0.066895,0.991699,-5.213740,2.267176,-0.564885,0.993970,5.713341,normal
1502,-0.010986,0.073975,0.987549,-5.053435,2.534351,-0.534351,0.990377,5.678527,normal
1522,-0.007324,0.066406,0.981689,-4.862596,1.984733,-0.664122,0.983960,5.293870,normal
1542,0.000000,0.064453,0.988037,-4.984733,2.091603,-0.435115,0.990137,5.423254,normal
1562,0.005127,0.065430,0.979980,-4.862596,1.977099,-0.641221,0.982176,5.288187,normal
1582,-0.006592,0.069580,0.980469,-5.022901,2.503817,-0.648855,0.982957,5.649747,normal
1602,-0.009766,0.066406,0.983643,-4.984733,2.801527,-0.717557,0.985930,5.762898,normal
1622,-0.009766,0.072510,0.987549,-4.832061,2.007634,-0.496183,0.990255,5.256007,normal
1642,-0.002197,0.061768,0.988525,-4.702290,1.748092,-0.603053,0.990456,5.052824,normal
1662,0.005615,0.069092,0.984375,-4.893130,1.862595,-0.770992,0.986813,5.292109,normal
1682,-0.006592,0.070557,0.985596,-4.816794,2.480916,-0.656489,0.988140,5.457786,normal
1702,-0.004395,0.071289,0.984619,-4.885496,2.541985,-0.709924,0.987206,5.552815,normal
1722,-0.009521,0.071777,0.984619,-4.763359,1.839695,-0.580153,0.987278,5.139128,normal
1742,-0.001709,0.067627,0.990967,-4.847328,1.687023,-0.740458,0.993273,5.185645,normal
1762,0.001465,0.068848,0.986572,-4.824428,2.290076,-0.687023,0.988973,5.384380,normal
1782,0.000488,0.068604,0.986084,-5.076336,2.251908,-0.458015,0.988468,5.572258,normal
1802,-0.001465,0.065430,0.987305,-5.022901,1.877863,-0.503817,0.989471,5.386068,normal
1822,-0.003174,0.066895,0.981934,-4.946565,1.931298,-0.503817,0.984215,5.334064,normal
1842,-0.002930,0.064697,0.990723,-4.862596,2.229008,-0.450382,0.992837,5.368068,normal
1862,-0.009521,0.067383,0.985352,-4.519084,2.480916,-0.885496,0.987699,5.230790,normal
1882,-0.003906,0.067383,0.980225,-4.847328,2.267176,-0.671756,0.982546,5.393323,normal
1902,-0.005371,0.067627,0.987549,-4.923664,1.870229,-0.419847,0.989876,5.283607,normal
1922,-0.000732,0.069824,0.981934,-4.908397,2.213740,-0.625954,0.984413,5.420777,normal
1942,0.001221,0.067627,0.979248,-4.862596,1.129771,-0.717557,0.981581,5.043422,normal
1962,0.004150,0.071533,0.991455,-5.015267,2.267176,-0.587786,0.994041,5.535204,normal
1982,-0.002441,0.065674,0.982910,-4.801527,2.145038,-0.770992,0.985105,5.315099,normal
2002,-0.012207,0.081299,0.984863,-5.694656,2.068702,-0.450382,0.988289,6.075482,normal
2022,-0.013184,0.076904,0.981934,-6.305344,1.358779,0.083969,0.985029,6.450634,normal
2042,-0.009277,0.062012,0.988770,-6.122138,0.786260,-0.213740,0.990756,6.176120,normal
2062,-0.006592,0.072510,0.983398,-6.175572,0.748092,0.694656,0.986090,6.259384,normal
2082,0.002441,0.082764,0.981689,-3.801527,1.335878,-1.061069,0.985175,4.166778,normal
2102,0.015381,0.013672,0.998047,-3.267176,2.580153,-0.664122,0.998259,4.215766,normal
2122,0.006348,0.087158,0.980713,-3.877863,3.557252,-1.213740,0.984599,5.400465,normal
2142,-0.019775,0.141113,0.989990,-6.916030,5.458015,-0.145038,1.000192,8.811495,normal
2162,-0.039551,0.154785,0.978271,-4.503817,2.709924,-2.068702,0.991230,5.648680,normal
2182,-0.015869,0.053467,0.989746,-2.633588,0.274809,-1.786260,0.991316,3.194062,normal
2202,0.013428,0.027588,0.988281,-5.091603,0.648855,-0.496183,0.988757,5.156708,normal
2222,0.009033,0.074463,0.979248,-5.763359,2.122137,-0.251908,0.982117,6.146806,normal
2242,-0.004150,0.075439,0.987061,-4.977099,3.488550,-0.656489,0.989948,6.113303,normal
2262,-0.011719,0.062988,0.981689,-4.671756,2.671756,-0.908397,0.983778,5.457909,normal
2282,-0.007568,0.056885,0.993652,-4.931298,1.725191,-0.526718,0.995308,5.250849,normal
2302,0.000488,0.064941,0.984619,-4.847328,1.282443,-0.412214,0.986759,5.031021,normal
2322,0.004639,0.070068,0.984619,-5.022901,2.137405,-0.282443,0.987120,5.466059,normal
2342,-0.002686,0.064697,0.984619,-4.847328,2.740458,-0.725191,0.986746,5.615390,normal
2362,-0.000977,0.065674,0.989014,-5.114504,2.572519,-0.587786,0.991192,5.755128,normal
2382,-0.005859,0.066650,0.977539,-5.038168,2.129771,-0.564885,0.979826,5.498923,normal
2402,-0.002686,0.061035,0.985352,-4.824428,1.587786,-0.519084,0.987244,5.105450,normal
2422,0.002441,0.067627,0.986328,-5.083970,1.534351,-0.488550,0.988647,5.332885,normal
2442,0.004883,0.068604,0.980469,-5.061069,2.358779,-0.572519,0.982878,5.613023,normal
2462,-0.001465,0.068848,0.995605,-4.961832,2.572519,-0.480916,0.997984,5.609716,normal
2482,-0.005127,0.070068,0.991699,-4.862596,2.022901,-0.595420,0.994185,5.300140,normal
2502,-0.004883,0.069824,0.986084,-4.816794,1.854962,-0.732824,0.988565,5.213388,normal
2522,-0.007080,0.064453,0.981201,-4.847328,1.946565,-0.610687,0.983341,5.259149,normal
2542,-0.001465,0.067871,0.988281,-4.793893,1.923664,-0.755725,0.990610,5.220442,normal
2562,-0.001221,0.071289,0.981201,-5.053435,2.137405,-0.572519,0.983788,5.516655,normal
2582,-0.005615,0.070312,0.985596,-5.030534,2.183206,-0.648855,0.988117,5.522108,normal
2602,-0.007568,0.067139,0.980713,-4.648855,2.732824,-0.732824,0.983037,5.442170,normal
