timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
10512,-2.000000,-0.668945,-0.323242,59.175571,-250.137405,17.671755,2.133535,257.648529,shake
10532,-0.955078,-0.795654,-0.162354,32.900764,-250.137405,36.259541,1.253634,254.884171,shake
10552,0.026367,-0.890137,0.071289,43.183205,-250.137405,62.458015,0.893376,261.408722,shake
10572,0.323975,-0.760986,0.255371,59.839695,-236.938934,93.748093,0.865606,261.743286,shake
10592,-0.017578,-0.540527,0.407471,78.053436,-156.603058,95.435112,0.677135,199.310593,shake
10612,-0.530762,-0.110107,0.704346,91.893127,-182.160309,91.000000,0.888783,223.400375,shake
10632,-0.354736,0.477051,1.035645,73.870232,-250.137405,94.549622,1.194142,277.425964,shake
10652,0.485352,0.723877,1.607422,84.740456,-250.137405,59.656490,1.828488,270.755554,shake
10672,1.823486,1.380371,1.418213,40.259541,-250.137405,14.404580,2.691069,253.765732,shake
10692,1.999939,1.332520,1.091309,-62.717556,-87.114502,-43.404579,2.639378,115.785950,shake
10712,1.999939,0.571533,0.951416,-130.396942,196.740463,-61.847328,2.287269,243.998489,shake
10732,1.294189,-0.007568,0.693848,-132.618317,250.129776,-65.190842,1.468471,290.520844,shake
10752,0.135498,-0.303467,0.407959,-122.221375,250.129776,-84.282440,0.526196,290.871979,shake
10772,-0.659180,-0.558594,0.213623,-118.931297,250.129776,-83.656487,0.890045,289.323303,shake
10792,-1.177002,-0.784912,-0.118164,-104.748093,250.129776,-54.908398,1.419642,276.680328,shake
10812,-1.767334,-1.143311,-0.911621,-94.587784,250.129776,-20.549618,2.293836,268.205231,shake
10832,-2.000000,-1.445068,-0.671387,-24.343512,214.839691,-8.748092,2.557143,216.391373,shake
10852,-2.000000,-1.155518,-0.214355,60.015266,-59.000000,-2.122137,2.319735,84.186317,shake
10872,-2.000000,-0.647461,-0.161133,70.694656,-250.137405,9.328244,2.108357,260.102814,shake
10892,-0.885254,-0.643311,-0.149902,55.961834,-250.137405,11.511451,1.104533,256.579376,shake
10912,-0.035889,-0.614990,0.152832,40.709923,-250.137405,50.488548,0.634711,258.408813,shake
10932,0.321289,-0.725098,0.315430,61.007633,-250.137405,70.419846,0.853516,266.926239,shake
10952,0.176514,-0.093262,0.781494,83.465652,-207.152664,71.473282,0.806590,234.493439,shake
10972,0.264160,0.362305,1.268555,60.435116,-221.793900,69.511452,1.345465,240.159912,shake
10992,0.852051,0.534424,1.847412,63.480915,-245.625961,1.145038,2.103457,253.699142,shake
11012,1.821289,0.797607,1.548340,3.786260,-187.679382,-13.038168,2.520045,188.169815,shake
11032,1.999939,0.514893,1.226074,-41.061069,12.229008,-23.412214,2.401693,48.823067,shake
11052,1.999939,0.301025,0.992676,-65.290077,250.129776,-33.801525,2.252949,260.711060,shake
