timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
3982,-0.139893,0.043213,0.977051,-4.938931,3.167939,-0.809160,0.987960,5.923142,fall_soft
4002,-0.129395,0.043701,0.976807,-5.282443,2.129771,-0.557252,0.986308,5.722819,fall_soft
4022,-0.121582,0.050049,0.974121,-4.984733,1.770992,-0.587786,0.982954,5.322543,fall_soft
4042,-0.133545,0.044189,0.964111,-4.854962,1.587786,-0.648855,0.974319,5.149052,fall_soft
4062,-0.120117,0.039795,0.968994,-4.687023,1.961832,-0.519084,0.977221,5.107486,fall_soft
4082,-0.129639,0.048096,0.974365,-4.938931,1.778626,-0.496183,0.984128,5.272831,fall_soft
4102,-0.120117,0.045654,0.965820,-4.992366,1.938931,-0.541985,0.974331,5.383022,fall_soft
4122,-0.122314,0.050781,0.961426,-5.160306,2.000000,-0.396947,0.970505,5.548542,fall_soft
4142,-0.125488,0.038574,0.962891,-4.893130,2.694656,-0.526718,0.971799,5.610822,fall_soft
4162,-0.123779,0.042236,0.968018,-5.068702,2.167939,-0.488550,0.976813,5.534472,fall_soft
4182,-0.126709,0.047119,0.971436,-4.732824,1.839695,-0.725191,0.980797,5.129328,fall_soft
4202,-0.117920,0.047852,0.968994,-5.053435,1.679389,-0.389313,0.977315,5.339393,fall_soft
4222,-0.118408,0.045166,0.979004,-5.122138,1.908397,-0.564885,0.987172,5.495213,fall_soft
4242,-0.126465,0.049805,0.969482,-5.106870,2.045802,-0.625954,0.978964,5.536899,fall_soft
4262,-0.116211,0.029541,0.969727,-5.259542,2.854962,-0.763359,0.977112,6.032935,fall_soft
4282,-0.118164,0.056885,0.970215,-5.251908,3.870229,-0.702290,0.979038,6.561587,fall_soft
4302,-0.130371,0.037842,0.972656,-5.221374,3.732824,-0.541985,0.982084,6.441310,fall_soft
4322,-0.135010,0.058594,0.967041,-4.862596,2.564885,-0.862595,0.978176,5.564849,fall_soft
4342,-0.129150,0.038086,0.967285,-5.106870,1.694656,-0.450382,0.976612,5.399521,fall_soft
4362,-0.128662,0.045898,0.974365,-4.618320,2.137405,-0.610687,0.983894,5.125458,fall_soft
4382,-0.124756,0.036133,0.966064,-5.259542,2.534351,-0.488550,0.974756,5.858703,fall_soft
4402,-0.125244,0.058838,0.970947,-4.946565,3.320611,-0.908397,0.980758,6.026619,fall_soft
4422,-0.122070,0.030029,0.971924,-4.893130,3.381679,-0.801527,0.980020,6.001743,fall_soft
4442,-0.127197,0.054199,0.973145,-5.244275,3.801527,-0.717557,0.982918,6.516818,fall_soft
4462,-0.145752,0.028320,0.968262,-4.709924,3.702290,-0.977099,0.979580,6.070013,fall_soft
4482,-0.149170,0.062988,0.972900,-5.251908,1.305344,-0.374046,0.986283,5.424608,fall_soft
4502,-0.118896,0.041504,0.973389,-4.251908,1.068702,-1.000000,0.981501,4.496760,fall_soft
4522,-0.128418,0.051758,0.966797,-5.541985,1.671756,-0.458015,0.976661,5.806732,fall_soft
4542,-0.120117,0.048584,0.969238,-4.961832,2.900763,-0.748092,0.977861,5.796020,fall_soft
4562,-0.137207,0.023926,0.974854,-4.557252,3.374046,-0.312977,0.984753,5.678969,fall_soft
4582,-0.128174,0.042480,0.972168,-3.694656,3.526718,-1.175573,0.981501,5.241201,fall_soft
4602,-0.128174,0.049561,0.966309,-3.832061,3.114504,-1.167939,0.976031,5.074338,fall_soft
4622,-0.130127,0.054199,0.975098,-5.022901,3.045802,-0.625954,0.985234,5.907475,fall_soft
4642,-0.142578,0.022949,0.979980,-4.931298,2.328244,-0.618321,0.990564,5.488236,fall_soft
4662,-0.148438,0.054443,0.979248,-4.992366,-0.213740,-0.236641,0.991930,5.002540,fall_soft
4682,-0.117432,0.048340,0.979248,-4.412214,-0.412214,-0.763359,0.987448,4.496695,fall_soft
4702,-0.109619,0.046143,0.955811,-5.541985,2.854962,-0.320611,0.963182,6.242371,fall_soft
4722,-0.138672,0.048340,0.975098,-5.618320,3.618321,-0.564885,0.986094,6.706479,fall_soft
4742,-0.140869,0.048828,0.978516,-4.908397,1.595420,-0.572519,0.989809,5.192832,fall_soft
4762,-0.124512,0.035645,0.970459,-5.022901,2.083969,-0.526718,0.979063,5.463505,fall_soft
4782,-0.128418,0.051270,0.967529,-4.717557,2.030534,-0.832061,0.977360,5.202955,fall_soft
4802,-0.128174,0.041992,0.976318,-5.503817,2.923664,-0.251908,0.985591,6.237248,fall_soft
4822,-0.130371,0.043213,0.971680,-4.671756,2.687023,-1.404580,0.981339,5.569402,fall_soft
4842,-0.140137,0.046875,0.963867,-5.541985,3.083969,-0.748092,0.975128,6.386243,fall_soft
4862,-0.146484,0.032471,0.981201,-4.763359,1.473282,-0.435115,0.992607,5.004945,fall_soft
4882,-0.128906,0.046631,0.965088,-4.862596,0.068702,-0.366412,0.974775,4.876865,fall_soft
4902,-0.118164,0.041260,0.976807,-4.954198,0.938931,-0.465649,0.984793,5.063843,fall_soft
4922,-0.107910,0.052246,0.980469,-4.854962,1.977099,-0.748092,0.987772,5.295207,fall_soft
4942,-0.116211,0.051514,0.956787,-5.725191,4.175572,-0.755725,0.965194,7.126313,fall_soft
4962,-0.139404,0.038086,0.965576,-5.549618,5.160306,-0.893130,0.976331,7.630511,fall_soft
4982,-0.163086,0.042969,0.974609,-5.335878,1.908397,-0.916031,0.989094,5.740443,fall_soft
5002,-0.152344,0.043701,0.970947,-4.923664,-0.969466,0.061069,0.983797,5.018571,fall_soft
5022,-0.109131,0.042480,0.976074,-4.534351,-0.702290,-0.793893,0.983074,4.656589,fall_soft
5042,-0.093262,0.044922,0.968018,-5.435114,3.488550,-0.946565,0.973537,6.527360,fall_soft
5062,-0.103516,0.076416,0.930664,-5.435114,5.679389,-3.366412,0.939516,8.551530,fall_soft
5082,-0.111572,0.026611,0.950195,-7.030534,8.221375,-1.610687,0.957093,10.936806,fall_soft
5102,-0.129883,0.043945,0.973389,-6.816794,10.938931,-1.503817,0.982999,12.976531,fall_soft
5122,-0.175781,0.040283,0.973145,-7.061069,8.916031,-1.343511,0.989713,11.452481,fall_soft
5142,-0.179932,0.009033,0.970703,-4.335878,4.442748,-0.870229,0.987280,6.268584,fall_soft
5162,-0.175049,0.068115,0.989746,-3.977099,-0.534351,0.068702,1.007412,4.013424,fall_soft
