timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
9442,0.736328,-0.729980,-0.171631,-8.763359,2.183206,-2.053435,1.050956,9.261720,lying
9462,0.734375,-0.729736,-0.158447,-6.053435,-0.221374,-1.732824,1.047343,6.300458,lying
9482,0.746094,-0.708496,-0.152344,-5.282443,-1.396947,-1.908397,1.040111,5.787714,lying
9502,0.747314,-0.696045,-0.151611,-6.755725,-1.083969,-2.435115,1.032445,7.262547,lying
9522,0.742188,-0.718506,-0.165527,-8.221375,-1.603053,-2.381679,1.046180,8.708224,lying
9542,0.758545,-0.707520,-0.170654,-8.305344,-2.770992,-1.511450,1.051236,8.884910,lying
9562,0.769287,-0.706787,-0.155518,-8.450381,-0.511450,-2.114504,1.056190,8.725918,lying
9582,0.746338,-0.707031,-0.164307,-9.946565,2.389313,-3.908397,1.041110,10.950732,lying
9602,0.707764,-0.697021,-0.156006,-11.442748,-0.129771,-6.832061,1.005538,13.327805,lying
9622,0.694824,-0.697021,-0.153076,-11.206107,-6.603054,-7.419847,0.996018,14.974355,lying
9642,0.732666,-0.688477,-0.150146,-12.755725,-12.221375,-7.435114,1.016535,19.166414,lying
9662,0.767334,-0.678955,-0.172363,-16.450382,-12.267176,-8.396947,1.038985,22.172222,lying
9682,0.761230,-0.685547,-0.178955,-20.000000,-8.465649,-10.885496,1.039938,24.293234,lying
9702,0.724365,-0.672852,-0.183105,-23.213741,-8.610687,-13.893129,1.005466,28.390858,lying
9722,0.696777,-0.669434,-0.190430,-24.732824,-16.954199,-14.358779,0.984837,33.246532,lying
9742,0.744629,-0.673096,-0.206543,-25.832062,-23.625954,-13.862596,1.024788,37.651726,lying
9762,0.801270,-0.679199,-0.244141,-26.458015,-21.312977,-14.740458,1.078401,37.034451,lying
9782,0.797119,-0.680420,-0.251709,-25.877863,-16.290077,-16.068703,1.077835,34.543213,lying
9802,0.771240,-0.667969,-0.247803,-25.541985,-13.885496,-15.740458,1.049952,33.059975,lying
