timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
14362,1.650146,0.473877,1.156982,140.847336,-250.137405,37.648853,2.070302,289.523987,shake
14382,1.999939,0.678223,0.952881,124.465652,-250.137405,102.305344,2.316835,297.534546,shake
14402,1.999939,0.890625,0.501953,111.832062,-60.068703,145.618317,2.246091,193.182175,shake
14422,1.999939,1.434814,-0.187256,99.190842,250.129776,168.900757,2.468504,317.696686,shake
14442,1.999939,1.999939,-1.166260,45.786259,250.129776,164.099243,3.059358,302.638153,shake
14462,0.456055,1.999939,-2.000000,-27.259542,250.129776,66.770996,2.864916,260.319702,shake
14482,-1.687500,1.952637,-2.000000,-139.824432,250.129776,-145.206100,3.265034,321.248505,shake
14502,-2.000000,0.145264,-2.000000,-61.190838,250.129776,-223.045807,2.832155,340.673828,shake
14522,-2.000000,0.188965,-2.000000,-47.679390,250.129776,-106.030533,2.834732,275.827301,shake
14542,-2.000000,0.527832,-1.268799,60.297710,-250.137405,-88.541985,2.426614,272.110687,shake
14562,-2.000000,0.648193,-2.000000,50.343510,-250.137405,-65.900764,2.901750,263.526276,shake
14582,-0.528809,0.768799,-2.000000,50.969467,-250.137405,-90.587784,2.206964,270.874054,shake
14602,0.534424,0.815430,-1.613770,23.038168,-250.137405,-80.038170,1.885414,263.639130,shake
14622,0.948242,0.352295,-0.677490,-3.312977,-250.137405,-33.259541,1.217484,252.360641,shake
14642,1.170166,0.177490,0.233643,17.129770,-250.137405,-45.106869,1.206391,254.748474,shake
14662,1.799316,0.181885,0.923584,68.641220,-250.137405,-50.541985,2.030672,264.262817,shake
14682,1.999939,0.556152,0.948975,76.358780,-250.137405,-19.061069,2.282458,262.226440,shake
14702,1.999939,0.213623,0.691895,61.068703,-154.656494,39.526718,2.126995,170.910446,shake
14722,1.999939,-0.054932,0.488525,99.030533,171.763351,76.900764,2.059473,212.657990,shake
14742,1.999939,0.848633,-0.142578,128.465652,250.129776,131.022903,2.177214,310.218201,shake
14762,1.999939,1.477051,-1.585938,119.419846,250.129776,105.885498,2.949005,296.711548,shake
14782,0.971924,0.733887,-2.000000,103.206108,250.129776,-50.519085,2.341629,275.260956,shake
14802,-1.890381,1.696289,-2.000000,71.206108,250.129776,-153.053436,3.232791,301.762451,shake
14822,-2.000000,1.999939,-2.000000,-132.007629,250.129776,-63.549618,3.464066,289.878387,shake
14842,-2.000000,0.337646,-1.687500,-144.458008,250.129776,-5.389313,2.638496,288.898041,shake
14862,-2.000000,-0.180420,-1.726807,0.648855,-250.137405,-34.534351,2.648474,252.510925,shake
14882,-2.000000,0.437500,-2.000000,84.938934,-250.137405,-40.152672,2.862063,267.199524,shake
14902,-0.353760,1.351318,-2.000000,92.213737,-250.137405,-77.213737,2.439510,277.550079,shake
