timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
11882,-0.150391,0.946533,-0.160645,-4.938931,2.000000,-0.618321,0.971776,5.364267,lying
11902,-0.148926,0.947266,-0.150635,-4.977099,2.015267,-0.534351,0.970661,5.396142,lying
11922,-0.149902,0.944824,-0.151611,-4.893130,1.877863,-0.526718,0.968581,5.267497,lying
11942,-0.150146,0.948486,-0.153320,-4.893130,1.893130,-0.503817,0.972459,5.270720,lying
11962,-0.144287,0.947021,-0.161865,-4.893130,1.877863,-0.671756,0.971529,5.283970,lying
11982,-0.150635,0.950928,-0.160400,-4.633588,1.977099,-0.564885,0.976055,5.069335,lying
12002,-0.151855,0.948486,-0.155518,-5.038168,2.000000,-0.511450,0.973074,5.444696,lying
12022,-0.153809,0.948242,-0.158203,-4.923664,2.000000,-0.587786,0.973575,5.346771,lying
12042,-0.147705,0.948730,-0.153809,-4.832061,2.122137,-0.687023,0.972401,5.322056,lying
12062,-0.145264,0.949951,-0.158203,-4.885496,2.061069,-0.488550,0.973929,5.324919,lying
12082,-0.152344,0.945312,-0.161621,-5.091603,2.305344,-0.755725,0.971054,5.640049,lying
12102,-0.151123,0.943359,-0.153076,-4.977099,1.877863,-0.580153,0.967573,5.351118,lying
12122,-0.152588,0.950928,-0.150879,-5.000000,2.038168,-0.725191,0.974839,5.447938,lying
12142,-0.146484,0.948975,-0.155518,-4.862596,2.053435,-0.679389,0.972726,5.321936,lying
12162,-0.151123,0.947998,-0.149902,-4.725191,1.839695,-0.557252,0.971601,5.101219,lying
12182,-0.144531,0.949463,-0.153809,-4.870229,2.038168,-0.656489,0.972639,5.320173,lying
12202,-0.153076,0.943115,-0.155762,-5.030534,2.145038,-0.725191,0.968070,5.516644,lying
12222,-0.145996,0.949219,-0.144531,-4.755725,2.396947,-0.587786,0.971195,5.357964,lying
12242,-0.150146,0.949951,-0.152100,-4.893130,2.137405,-0.603053,0.973697,5.373537,lying
12262,-0.147949,0.946777,-0.161621,-4.870229,1.992366,-0.763359,0.971801,5.317083,lying
12282,-0.149170,0.952637,-0.168701,-4.801527,1.877863,-0.450382,0.978891,5.175313,lying
12302,-0.151855,0.950439,-0.158447,-4.969466,2.190840,-0.633588,0.975449,5.467797,lying
12322,-0.148682,0.952148,-0.153076,-4.740458,2.114504,-0.671756,0.975769,5.233959,lying
12342,-0.150391,0.948730,-0.150146,-4.900764,1.648855,-0.549618,0.972240,5.199835,lying
12362,-0.150391,0.944824,-0.153320,-4.854962,2.000000,-0.534351,0.968926,5.277896,lying
12382,-0.154053,0.946289,-0.149902,-4.839694,1.862595,-0.679389,0.970395,5.230055,lying
12402,-0.146729,0.947754,-0.153809,-4.877862,2.099237,-0.648855,0.971300,5.349893,lying
12422,-0.147949,0.945801,-0.162354,-4.954198,1.633588,-0.709924,0.970972,5.264664,lying
12442,-0.148926,0.945068,-0.155518,-4.824428,1.679389,-0.534351,0.969288,5.136242,lying
12462,-0.153809,0.953613,-0.162354,-4.679389,1.748092,-0.641221,0.979487,5.036236,lying
12482,-0.145508,0.947998,-0.160400,-4.847328,2.145038,-0.648855,0.972420,5.340299,lying
12502,-0.150146,0.947021,-0.156006,-4.908397,2.290076,-0.748092,0.971458,5.467764,lying
12522,-0.149658,0.947754,-0.151367,-4.832061,2.045802,-0.587786,0.971363,5.280115,lying
12542,-0.152344,0.948730,-0.156982,-4.702290,1.931298,-0.496183,0.973623,5.107606,lying
12562,-0.149414,0.947754,-0.146240,-4.877862,2.229008,-0.587786,0.970540,5.395138,lying
12582,-0.150635,0.949951,-0.152100,-4.862596,2.274809,-0.648855,0.973772,5.407458,lying
12602,-0.156250,0.950439,-0.160400,-4.862596,2.053435,-0.458015,0.976462,5.298227,lying
12622,-0.154541,0.945801,-0.151367,-4.694656,2.061069,-0.610687,0.970224,5.163404,lying
12642,-0.152832,0.944580,-0.157227,-4.839694,2.206107,-0.618321,0.969696,5.354612,lying
12662,-0.146484,0.944824,-0.153564,-4.885496,1.984733,-0.679389,0.968366,5.316842,lying
12682,-0.150879,0.947998,-0.152588,-4.801527,2.083969,-0.549618,0.971981,5.263047,lying
12702,-0.148193,0.954834,-0.155029,-4.824428,2.030534,-0.648855,0.978623,5.274390,lying
12722,-0.147949,0.953857,-0.149170,-4.778626,2.145038,-0.625954,0.976721,5.275251,lying
12742,-0.152344,0.952148,-0.160156,-4.732824,2.290076,-0.618321,0.977469,5.293996,lying
12762,-0.150879,0.947754,-0.151611,-4.786260,2.221374,-0.541985,0.971590,5.304388,lying
12782,-0.152100,0.948730,-0.154541,-4.839694,2.045802,-0.549618,0.973194,5.282994,lying
12802,-0.151367,0.947510,-0.155518,-4.954198,2.030534,-0.526718,0.972046,5.380017,lying
12822,-0.152588,0.947510,-0.155273,-4.832061,1.984733,-0.610687,0.972197,5.259365,lying
12842,-0.148682,0.948730,-0.151855,-4.893130,1.923664,-0.694656,0.972243,5.303372,lying
12862,-0.153809,0.950928,-0.159424,-4.977099,1.488550,-0.488550,0.976390,5.217852,lying
12882,-0.149902,0.948730,-0.154785,-4.801527,1.816794,-0.435115,0.972892,5.152157,lying
12902,-0.156006,0.950684,-0.156494,-4.938931,2.076336,-0.755725,0.976026,5.410669,lying
12922,-0.149902,0.949707,-0.154541,-5.030534,2.198473,-0.549618,0.973805,5.517394,lying
12942,-0.152588,0.947510,-0.155762,-4.954198,2.129771,-0.480916,0.972275,5.413990,lying
12962,-0.153809,0.947754,-0.168945,-4.778626,1.969466,-0.549618,0.974904,5.197705,lying
12982,-0.150879,0.947998,-0.158691,-4.748092,1.946565,-0.610687,0.972958,5.167826,lying
13002,-0.146729,0.949463,-0.155273,-4.793893,2.106870,-0.603053,0.973200,5.271052,lying
13022,-0.146484,0.952881,-0.147461,-4.946565,2.267176,-0.519084,0.975287,5.466080,lying
13042,-0.149902,0.947510,-0.164307,-4.984733,1.763359,-0.488550,0.973264,5.309960,lying
13062,-0.143799,0.947510,-0.146973,-4.969466,2.022901,-0.656489,0.969564,5.405432,lying
13082,-0.140869,0.950684,-0.151855,-4.877862,1.938931,-0.671756,0.972987,5.291904,lying
13102,-0.154785,0.955078,-0.153076,-5.091603,1.938931,-0.778626,0.979574,5.503647,lying
13122,-0.153320,0.952393,-0.154053,-4.946565,1.916031,-0.625954,0.976878,5.341488,lying
13142,-0.152344,0.951904,-0.151367,-4.770992,2.183206,-0.564885,0.975829,5.277106,lying
13162,-0.147949,0.951904,-0.151367,-4.801527,2.297710,-0.458015,0.975153,5.342649,lying
13182,-0.150635,0.945801,-0.162354,-4.916030,2.305344,-0.335878,0.971385,5.440108,lying
13202,-0.153564,0.949707,-0.148682,-5.183206,2.106870,-0.404580,0.973464,5.609653,lying
13222,-0.143066,0.946533,-0.157715,-4.847328,1.816794,-0.633588,0.970189,5.215243,lying
13242,-0.147461,0.945557,-0.156494,-4.801527,2.030534,-0.740458,0.969697,5.265549,lying
13262,-0.143799,0.948975,-0.154541,-4.938931,2.022901,-0.618321,0.972170,5.372848,lying
13282,-0.155273,0.948730,-0.155518,-4.938931,1.931298,-0.748092,0.973851,5.355613,lying
13302,-0.145752,0.944336,-0.155029,-4.847328,1.870229,-0.580153,0.968012,5.227899,lying
13322,-0.150635,0.947754,-0.155273,-4.862596,1.938931,-0.572519,0.972131,5.266125,lying
13342,-0.152344,0.950439,-0.156738,-4.862596,2.274809,-0.557252,0.975249,5.397233,lying
13362,-0.148926,0.948975,-0.161133,-5.083970,1.763359,-0.587786,0.974010,5.413102,lying
13382,-0.151123,0.949463,-0.157715,-4.877862,2.000000,-0.557252,0.974265,5.301327,lying
13402,-0.155029,0.949219,-0.156738,-4.824428,2.190840,-0.519084,0.974483,5.323939,lying
13422,-0.151367,0.954102,-0.154053,-4.946565,1.801527,-0.557252,0.978240,5.293820,lying
13442,-0.149902,0.945557,-0.149902,-4.877862,2.083969,-0.633588,0.969030,5.342088,lying
13462,-0.150879,0.950439,-0.148682,-4.862596,2.221374,-0.549618,0.973759,5.374144,lying
13482,-0.147217,0.949219,-0.155518,-5.030534,2.145038,-0.755725,0.973075,5.520741,lying
13502,-0.143311,0.942383,-0.158447,-4.725191,1.923664,-0.931298,0.966296,5.186061,lying
13522,-0.145020,0.953613,-0.152588,-4.809160,2.190840,-0.824427,0.976572,5.348596,lying
13542,-0.154297,0.944336,-0.154785,-4.793893,2.152672,-0.595420,0.969297,5.288661,lying
