timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
22532,0.287598,-0.017822,-0.237305,-115.229004,-192.641220,10.190840,0.373287,224.704727,fall_soft
22552,0.445557,-0.221191,-0.167725,-103.053436,-131.740463,13.152672,0.524955,167.775299,fall_soft
22572,0.151367,-0.336182,-0.017822,-64.251907,-92.007637,21.709923,0.369118,114.302376,fall_soft
22592,0.044434,-0.255615,0.045654,-24.114504,-88.564888,36.083969,0.263435,98.627083,fall_soft
22612,0.260254,-0.088623,-0.009521,-3.946565,-71.015266,42.786259,0.275094,83.002457,fall_soft
22632,0.338135,-0.026611,-0.020020,1.389313,-26.656488,37.473282,0.339771,46.008102,fall_soft
22652,0.162109,0.102295,0.033447,-4.381680,9.870229,32.656490,0.194583,34.395741,fall_soft
22672,0.187256,-1.101562,-0.026367,28.854961,27.083969,19.511450,1.117676,44.123089,fall_soft
22692,0.264893,-2.000000,0.202881,250.129776,52.167938,178.519089,2.027641,311.697693,fall_soft
22712,-0.414551,-1.494629,-2.000000,250.129776,80.709923,-13.053435,2.530962,263.152802,fall_soft
22732,-1.648682,1.999939,1.999939,250.129776,169.183212,-250.137405,3.273784,392.118073,fall_soft
22752,-2.000000,1.999939,-0.358398,-250.137405,48.580154,250.129776,2.851001,357.062531,fall_soft
22772,-1.281738,-2.000000,0.011475,-250.137405,161.641220,-250.137405,2.375497,388.928436,fall_soft
22792,0.013428,-2.000000,-0.105713,-191.450378,-63.083969,-167.030533,2.002837,261.786224,fall_soft
22812,1.366211,-0.568359,-0.487061,-57.183205,33.290077,-42.442749,1.557817,78.610016,fall_soft
22832,0.987305,-0.134521,-0.544922,-16.465649,225.908401,25.442749,1.135696,227.932129,fall_soft
22852,-0.363281,-0.119385,-0.114258,1.000000,248.083969,131.702286,0.399100,280.877472,fall_soft
22872,-0.739258,-0.371582,0.143066,45.893131,135.206100,172.244278,0.839669,223.729660,fall_soft
22892,0.195068,-1.243164,-0.831543,111.900764,112.015266,92.541985,1.508301,183.393616,fall_soft
22912,-2.000000,-0.782959,0.109863,95.145035,176.213745,24.740458,2.150603,201.781937,fall_soft
22932,-2.000000,-0.859375,1.427002,161.145035,-250.137405,190.396942,2.602856,353.252655,fall_soft
