timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,A,G,label
470,-0.014404,0.071777,0.986084,-4.916030,2.396947,-0.770992,0.988798,5.523327,normal
482,-0.015381,0.067871,0.988770,-4.732824,2.694656,-0.580153,0.991216,5.476986,normal
502,-0.016113,0.065674,0.983154,-5.213740,2.076336,-0.564885,0.985477,5.640333,normal
522,-0.016846,0.066895,0.986572,-4.435114,1.969466,-0.595420,0.988981,4.889127,normal
542,-0.016846,0.068115,0.981201,-4.877862,2.114504,-0.381679,0.983707,5.330136,normal
562,-0.007324,0.068604,0.986816,-4.900764,1.862595,-0.709924,0.989225,5.290627,normal
582,-0.019287,0.070068,0.985352,-5.030534,2.480916,-0.633588,0.988028,5.644701,normal
602,-0.024170,0.066162,0.986572,-5.213740,2.610687,-0.526718,0.989084,5.854589,normal
622,-0.018555,0.067627,0.986572,-4.587786,2.282443,-0.740458,0.989061,5.177413,normal
642,-0.016357,0.072510,0.986572,-4.633588,2.412214,-0.557252,0.989368,5.253517,normal
662,-0.014893,0.069092,0.981934,-4.786260,2.442748,-0.702290,0.984474,5.419272,normal
682,-0.013672,0.070801,0.983643,-4.984733,3.427481,-0.534351,0.986282,6.072949,normal
702,-0.019043,0.072754,0.982910,-4.847328,2.045802,-0.587786,0.985783,5.294090,normal
722,-0.022217,0.066406,0.981689,-5.083970,2.175573,-0.374046,0.984184,5.542542,normal
742,-0.009277,0.063721,0.977295,-4.549618,1.587786,-0.641221,0.979414,4.861199,normal
762,-0.019287,0.068604,0.980469,-4.549618,2.251908,-0.839695,0.983055,5.145406,normal
782,-0.020996,0.072754,0.979492,-4.908397,1.572519,-0.702290,0.982415,5.201767,normal
802,-0.021240,0.071045,0.982178,-5.229008,2.389313,-0.480916,0.984973,5.769109,normal
822,-0.015137,0.068604,0.979004,-4.641222,2.106870,-0.702290,0.981521,5.145197,normal
842,-0.010986,0.074707,0.986084,-4.862596,2.114504,-0.656489,0.988971,5.342934,normal
862,-0.013672,0.068604,0.987061,-5.068702,2.282443,-0.549618,0.989536,5.585998,normal
882,-0.012207,0.069824,0.989258,-5.114504,2.633588,-0.702290,0.991794,5.795442,normal
902,-0.014893,0.069824,0.979248,-4.801527,2.648855,-0.717557,0.981847,5.530459,normal
922,-0.014160,0.073242,0.983887,-4.862596,1.503817,-0.732824,0.986711,5.142308,normal
942,-0.004395,0.066406,0.982666,-4.763359,1.877863,-0.618321,0.984917,5.157351,normal
962,-0.012207,0.062500,0.980225,-4.687023,1.801527,-0.679389,0.982291,5.067075,normal
982,-0.013916,0.069824,0.984131,-4.748092,2.908397,-0.610687,0.986703,5.601436,normal
1002,-0.015381,0.066895,0.973633,-4.931298,1.557252,-0.587786,0.976049,5.204635,normal
1022,-0.013916,0.070801,0.983887,-4.824428,1.778626,-0.664122,0.986529,5.184561,normal
1042,-0.013184,0.068115,0.987793,-5.068702,1.259542,-0.374046,0.990226,5.236229,normal
